company_name,industry,website,telephone,fax,address,address_maplink,email_home
Füllemann AG,Bewertungen,http://www.fuellemann.ch/,tel:071 388 10 00,fax:071 388 10 01,"Moosgartenstrasse 620
9200 Gossau SG",https://www.google.com/maps/place/Moosgartenstrasse%20620+9200+Gossau%20SG,info@fuellemann.ch
Lorenz Nutzfahrzeuge AG,lnstandhaltung und Reparatur von Automobilen,http://www.lorenz-ag.ch/,NA,NA,"Kirchbergstrasse 61
3421 Lyssach",https://www.google.com/maps/place/Kirchbergstrasse%2061+3421+Lyssach,info@lorenz-ag.ch
Suter + Haefeli AG,Sanitär- und Heizungsinstallation,NA,tel:062 723 02 63,fax:062 723 04 54,"Tannacker 30
5037 Muhen",https://www.google.com/maps/place/Tannacker%2030+5037+Muhen,website not accessible
Küffer Schreinerei AG,"Bauschreinerei, Fenster und Türen",http://www.schreinerei-kueffer.ch/,tel:032 377 22 55,fax:032 377 18 27,"Beundenweg 4
2542 Pieterlen",https://www.google.com/maps/place/Beundenweg%204+2542+Pieterlen,info@schreinerei-kueffer.ch
ZIWALIG AG Rüti,Vermittlung von Arbeitskräften,http://www.ziwalig.ch/,tel:055 251 50 50,fax:055 251 50 51,"Ferrachstrasse 30
8630 Rüti ZH",https://www.google.com/maps/place/Ferrachstrasse%2030+8630+R%C3%BCti%20ZH,rueti@ziwalig.ch
Keller Holzbau AG,"Holzbau, Zimmerei",http://www.holzleimbau.ch/,tel:071 966 26 11,NA,"Wilerstrasse 82
8370 Sirnach",https://www.google.com/maps/place/Wilerstrasse%2082+8370+Sirnach,
Hürbi Hauswartungen,Hausmeisterdienste; Facility Management,http://www.huerbi-hauswartungen.ch/,tel:061 599 84 41,NA,"Gehrenweg 11
4226 Breitenbach",https://www.google.com/maps/place/Gehrenweg%2011+4226+Breitenbach,
"Stöckli Treuhand, Manuela Stöckli",Wirtschaftsprüfung und Steuerberatung; Buchführung; Treuhandgesellschaften,http://www.stoeckli-treuhand.ch/,tel:062 756 07 93,NA,"Dubenmatt 8a
6026 Rain",https://www.google.com/maps/place/Dubenmatt%208a+6026+Rain,
Blue Design GmbH,lnstandhaltung und Reparatur von Automobilen,NA,tel:062 822 35 78,fax:062 891 00 61,"Sägestrasse 51
5600 Lenzburg",https://www.google.com/maps/place/S%C3%A4gestrasse%2051+5600+Lenzburg,website not accessible
NEFF AG flawil automobile,lnstandhaltung und Reparatur von Automobilen,http://www.neff-automobile.ch/,tel:071 394 15 80,fax:071 394 15 89,"Wilerstrasse 247
9230 Flawil",https://www.google.com/maps/place/Wilerstrasse%20247+9230+Flawil,info@neff-automobile.ch
Vögeli Kaminbau AG,Sonstiger spezialisierter Hoch- und Tiefbau a. n. g.,https://www.voegeli-kaminbau.ch/,tel:071 663 70 30,NA,"Im Blahi
8573 Alterswilen",https://www.google.com/maps/place/Im%20Blahi+8573+Alterswilen,8c4075d5481d476e945486754f783364@sentry.io
GF General Building GmbH,Aktivitäten der Generalunternehmen im Baugewerbe,NA,tel:044 886 33 55,NA,"Länggenstrasse 28
8184 Bachenbülach",https://www.google.com/maps/place/L%C3%A4nggenstrasse%2028+8184+Bachenb%C3%BClach,website not accessible
Gebr.Tinner GmbH,Allgemeiner Hoch- und Tiefbau ohne ausgeprägten Schwerpunkt,http://www.tinner-tiefbau.ch/,tel:081 757 28 31,fax:081 757 25 34,"Brüel 1
9468 Sax",https://www.google.com/maps/place/Br%C3%BCel%201+9468+Sax,website not accessible
Hotel Solaria,"Hotels, Gasthöfe und Pensionen mit Restaurant",http://www.hotelsolariabivio.ch/,tel:081 684 51 07,fax:081 684 52 90,7457 Bivio,https://www.google.com/maps/place/undefined+7457+Bivio,info@hotelsolariabivio.ch
Otto Schweizer Handels AG,Detailhandel mit Eisen- und Metallwaren,http://www.w-antenen.ch/,tel:062 296 26 20,fax:062 296 34 23,"Aarburgerstrasse 103
4600 Olten",https://www.google.com/maps/place/Aarburgerstrasse%20103+4600+Olten,
Hotel Eiger,"Hotels, Gasthöfe und Pensionen mit Restaurant",http://www.hoteleiger.com/,tel:033 856 54 54,fax:033 856 54 56,3825 Mürren,https://www.google.com/maps/place/undefined+3825+M%C3%BCrren,info@hoteleiger.com
baupoint handels ag,Grosshandel mit Baustoffen,http://www.baupoint.ch/,tel:062 888 22 88,fax:062 888 22 99,"Wiesenweg 47
5102 Rupperswil",https://www.google.com/maps/place/Wiesenweg%2047+5102+Rupperswil,rupperswil@baupoint.ch
Racol Partner AG,Werbeagenturen,http://www.racol.ch/,tel:041 790 20 44,fax:041 790 30 70,"Grundstrasse 18
6343 Rotkreuz",https://www.google.com/maps/place/Grundstrasse%20%2018+6343+Rotkreuz,
TOP GERÜSTE AG,Gerüstbau,NA,NA,fax:061 903 91 90,"Hammerstrasse 41
4410 Liestal",https://www.google.com/maps/place/Hammerstrasse%2041+4410+Liestal,website not accessible
PPG Switzerland GmbH,"Herstellung von Anstrichmitteln, Druckfarben und Kitten",http://www.ppg.com/,tel:044 945 43 43,NA,"Sandbüelstrasse 8
8604 Volketswil",https://www.google.com/maps/place/Sandb%C3%BCelstrasse%208+8604+Volketswil,
Philipp Mohler GmbH,Reparatur von Möbeln und Einrichtungsgegenständen,NA,tel:061 922 12 00,fax:061 922 12 01,"Kanonengasse 22
4410 Liestal",https://www.google.com/maps/place/Kanonengasse%2022+4410+Liestal,website not accessible
sky-immo rheintal ag,"Kauf und Verkauf von eigenen Grundstücken, Gebäuden und Wohnungen",NA,NA,NA,"Kesselistrasse 7
9436 Balgach",https://www.google.com/maps/place/Kesselistrasse%207+9436+Balgach,website not accessible
Franziskaner Restaurant,"Restaurants, Imbissstuben, Tea-Rooms und Gelaterias",http://www.hotelfranziskaner.ch/,tel:081 250 44 00,NA,"Untere Gasse 29
7000 Chur",https://www.google.com/maps/place/Untere%20Gasse%2029+7000+Chur,info@hotelfranziskaner.ch
Talschreinerei Furrer GmbH,Schreinerarbeiten im Innenausbau,http://www.talschreinerei.ch/,tel:052 386 19 03,fax:052 386 33 50,"Steinenbachstrasse 20
8499 Sternenberg",https://www.google.com/maps/place/Steinenbachstrasse%2020+8499+Sternenberg,bad link
Federer Augenoptik AG,Detailhandel mit Brillen und anderen Sehhilfen,http://www.federerbuchs.ch/,tel:081 750 05 40,fax:081 750 05 41,"Grünaustrasse 25
9470 Buchs SG",https://www.google.com/maps/place/Gr%C3%BCnaustrasse%2025+9470+Buchs%20SG,facebook-mobile@2x.png
Naku Steinhandel AG,Be- und Verarbeitung von Naturwerksteinen und Natursteinen a. n. g.,http://www.naku.ch/,tel:052 646 05 10,fax:052 646 05 15,"Diessenhoferstrasse 39
8254 Basadingen",https://www.google.com/maps/place/Diessenhoferstrasse%2039+8254+Basadingen,p.beglinger@naku-holding.ch
hauswartprofis AG,Hausmeisterdienste; Facility Management,http://www.hauswartprofis.ch/,tel:0848 999 777,NA,"Alte Bahnhofstrasse 7
5506 Mägenwil",https://www.google.com/maps/place/Alte%20Bahnhofstrasse%207+5506+M%C3%A4genwil,
SBR AG,lnstandhaltung und Reparatur von Automobilen,NA,tel:033 823 47 77,fax:033 823 47 78,"Blasenweg 8
3852 Ringgenberg BE",https://www.google.com/maps/place/Blasenweg%208+3852+Ringgenberg%20BE,website not accessible
David Thaddey AG,Sägewerke,NA,tel:071 977 15 27,fax:071 977 22 27,"Hauptstrasse 1
8376 Fischingen",https://www.google.com/maps/place/Hauptstrasse%201+8376+Fischingen,website not accessible
comTeam AG,Werbeagenturen,http://www.cadolino.com/,tel:044 730 45 10,fax:044 730 45 27,"Wagistrasse 23
8952 Schlieren",https://www.google.com/maps/place/Wagistrasse%2023+8952+Schlieren,info@cadolino.com
"a-z-facilityservices, Jahi Imeri",Allgemeine Gebäudereinigung,http://www.a-z-facilityservices.ch/,NA,NA,"Sonnenpark 20b
8808 Pfäffikon SZ",https://www.google.com/maps/place/Sonnenpark%2020b+8808+Pf%C3%A4ffikon%20SZ,
Globau Baumanagement GmbH,Architekturbüros,http://www.globau.ch/,tel:032 389 13 39,fax:032 389 19 75,"Feldweg 3
3257 Grossaffoltern",https://www.google.com/maps/place/Feldweg%203+3257+Grossaffoltern,andrea.vonaesch@globau.ch
Werbe-Service GmbH Najbr,Werbeagenturen,NA,tel:044 954 16 52,fax:044 954 16 52,"Zelglistrasse 4
8320 Fehraltorf",https://www.google.com/maps/place/Zelglistrasse%204+8320+Fehraltorf,website not accessible
maxime holding ag,Andere Holdinggesellschaften,NA,tel:071 969 47 69,NA,"Sandgrube 29
9050 Appenzell",https://www.google.com/maps/place/Sandgrube%2029+9050+Appenzell,website not accessible
Edilstrada SA,Bau von Strassen,http://www.edilstrada.ch/,tel:091 826 29 54,fax:091 826 29 54,"cà Rosa
6563 Mesocco",https://www.google.com/maps/place/c%C3%A0%20Rosa+6563+Mesocco,
Genossenschaft BOE,Betrieb von Sportanlagen,NA,NA,NA,"Dorfstrasse 17d
3436 Zollbrück",https://www.google.com/maps/place/Dorfstrasse%2017d+3436+Zollbr%C3%BCck,website not accessible
Stefans Möbel AG,Inserate,http://www.stefansmoebel.ch/,tel:055 442 63 29,fax:055 442 56 41,"Feldmoosstrasse 45
8853 Lachen SZ",https://www.google.com/maps/place/Feldmoosstrasse%2045+8853+Lachen%20SZ,1200@2x.jpg
Adesso Hair Design,Coiffeursalons,https://www.adessohairdesign.ch/,tel:055 282 15 15,NA,"Burgerfeldstrasse 15
8730 Uznach",https://www.google.com/maps/place/Burgerfeldstrasse%2015+8730+Uznach,info@adessohairdesign.ch
HC Fribourg-Gottéron SA,Sportvereine,NA,tel:026 347 13 10,fax:026 347 13 11,"Allée du Cimetière 7
1700 Fribourg",https://www.google.com/maps/place/All%C3%A9e%20du%20Cimeti%C3%A8re%207+1700+Fribourg,website not accessible
Fischerhaus GmbH,Bewertungen,http://www.fischerhaus.ch/,tel:071 688 18 77,NA,"Promenadenstrasse 52
8280 Kreuzlingen",https://www.google.com/maps/place/Promenadenstrasse%2052+8280+Kreuzlingen,info@fischerhaus.ch
Bergers Gastro GmbH,"Restaurants, Imbissstuben, Tea-Rooms und Gelaterias",http://www.landgasthaus-strauss.ch/,tel:041 790 11 65,NA,"Hauptstrasse 26
5044 Schlossrued",https://www.google.com/maps/place/Hauptstrasse%2026+5044+Schlossrued,
idm Verlag AG,Verlegen von Zeitschriften,http://www.idm-verlag.ch/,tel:041 785 63 30,fax:041 785 63 33,"Rothusstrasse 19
6331 Hünenberg",https://www.google.com/maps/place/Rothusstrasse%2019+6331+H%C3%BCnenberg,info@regio-x.ch
Atlas GmbH,"Sonstige freiberufliche, wissenschaftliche und technische Tätigkeiten a. n. g.",NA,tel:031 371 69 69,fax:031 371 71 27,"Seftigenstrasse 21
3007 Bern",https://www.google.com/maps/place/Seftigenstrasse%2021+3007+Bern,website not accessible
Rentsch AG Isolierungen,"Dämmung gegen Kälte, Wärme, Schall und Erschütterung",http://www.rentsch-isolierungen.ch/,tel:031 869 66 00,fax:031 869 66 61,"Bielstrasse 17
3053 Münchenbuchsee",https://www.google.com/maps/place/Bielstrasse%2017+3053+M%C3%BCnchenbuchsee,bad link
ELEKTRO LENGWILER AG,Elektroinstallation,NA,tel:071 866 22 22,fax:071 866 12 18,"Haltelhusstrasse 1
9402 Mörschwil",https://www.google.com/maps/place/Haltelhusstrasse%201+9402+M%C3%B6rschwil,website not accessible
Riwax-Chemie AG,"Herstellung von Seifen, Wasch-, Reinigungs- und Poliermitteln",http://www.riwax.ch/,tel:031 910 45 45,fax:031 910 45 05,"Tannholzstrasse 3
3052 Zollikofen",https://www.google.com/maps/place/Tannholzstrasse%203+3052+Zollikofen,bad link
malerhaenni.ch gmbh,Malerei und Gipserei ohne ausgeprägten Schwerpunkt,http://www.malerhaenni.ch/,tel:031 971 85 63,fax:031 971 01 19,"Könizstrasse 265
3097 Liebefeld",https://www.google.com/maps/place/K%C3%B6nizstrasse%20265+3097+Liebefeld,info@malerhaenni.ch
Vitali's Generation AG,"Verwaltung von Grundstücken, Gebäuden und Wohnungen für Dritte",http://www.vitalisgeneration.ch/,tel:032 333 12 21,NA,"Höhenweg 30
2572 Mörigen",https://www.google.com/maps/place/H%C3%B6henweg%2030+2572+M%C3%B6rigen,
Arkas Generalbauunternehmen AG,Aktivitäten der Generalunternehmen im Baugewerbe,NA,tel:071 222 85 77,fax:071 994 95 35,"Hof
9643 Krummenau",https://www.google.com/maps/place/Hof+9643+Krummenau,website not accessible
Garage Otto Meier AG,lnstandhaltung und Reparatur von Automobilen,NA,tel:052 318 17 22,fax:052 318 22 08,"Andelfingerstrasse 16
8416 Flaach",https://www.google.com/maps/place/Andelfingerstrasse%2016+8416+Flaach,website not accessible
Hotel-Restaurant Adelboden,Restaurants mit Beherbergungsangebot,NA,tel:062 751 19 74,fax:062 751 19 74,"Luzernerstrasse 16
4806 Wikon",https://www.google.com/maps/place/Luzernerstrasse%2016+4806+Wikon,website not accessible
Wyfonsa Immobilien,"Verwaltung von Grundstücken, Gebäuden und Wohnungen für Dritte",NA,tel:044 387 76 00,fax:044 387 76 05,"Weinbergstrasse 139
8006 Zürich",https://www.google.com/maps/place/Weinbergstrasse%20139+8006+Z%C3%BCrich,website not accessible
"Normartikel, Markus Fäh",Herstellung von Metallkonstruktionen,http://www.wimeba.ch/,tel:062 748 66 66,NA,"Egolzwilerstrasse 16
6244 Nebikon",https://www.google.com/maps/place/Egolzwilerstrasse%2016+6244+Nebikon,info@wimeba.ch
Rüedi Dach AG,Dachdeckerei,http://www.ruedi-dach.ch/,tel:044 463 72 32,fax:044 463 08 82,"Grubenstrasse 39
8045 Zürich",https://www.google.com/maps/place/Grubenstrasse%2039+8045+Z%C3%BCrich,info@ruedi-dach.ch
Henggeler Management,Unternehmensberatung,http://www.henggeler-management.com/,NA,NA,"Raamattenstrasse 18
5621 Zufikon",https://www.google.com/maps/place/Raamattenstrasse%2018+5621+Zufikon,website not accessible
Salm Bedachungen AG,Inserate,http://www.gebaeudehuelle-salm.ch/,tel:056 460 40 80,fax:056 460 40 81,"Veltheimerstrasse 2
5107 Schinznach Dorf",https://www.google.com/maps/place/Veltheimerstrasse%202+5107+Schinznach%20Dorf,info@cs2.ch
