0,1,2,3,4,5,6
Gysi-Automobile AG,Bewertungen,http://www.autogysi.ch/,tel:056 460 27 27,fax:056 460 27 28,"Hauptstrasse 9
5212 Hausen AG",https://www.google.com/maps/place/Hauptstrasse%209+5212+Hausen%20AG
Doris Hagmann,"Kauf und Verkauf von eigenen Grundstücken, Gebäuden und Wohnungen",NA,NA,NA,"Rebstockhalde 9
6006 Luzern",https://www.google.com/maps/place/Rebstockhalde%209+6006+Luzern
Hotel Kemmeriboden-Bad,Artikel im Shop,http://www.kemmeriboden.ch/,tel:034 493 77 77,fax:034 493 77 70,6197 Schangnau,https://www.google.com/maps/place/undefined+6197+Schangnau
werk5 ag,Siebdruck,http://www.werk5.ch/,tel:032 666 40 70,fax:032 666 40 79,"Stationsweg 4
3428 Wiler b. Utzenstorf",https://www.google.com/maps/place/Stationsweg%204+3428+Wiler%20b.%20Utzenstorf
Indian Restaurant Kanchi,"Restaurants, Imbissstuben, Tea-Rooms und Gelaterias",http://www.kanchi.ch/,tel:041 410 67 08,NA,"Friedenstrasse 2
6000 Luzern 6",https://www.google.com/maps/place/Friedenstrasse%202+6000+Luzern%206
Faro AG Facility Services,Allgemeine Gebäudereinigung,http://www.faro.ch/,tel:031 332 52 51,fax:031 332 27 57,"Bottigenstrasse 217b
3019 Bern",https://www.google.com/maps/place/Bottigenstrasse%20217b+3019+Bern
Werder Küchen-Design,Herstellung von Küchen- und Badzimmermöbeln (ohne Einbau),NA,tel:091 943 51 48,NA,"Sinserstrasse 116
6330 Cham",https://www.google.com/maps/place/Sinserstrasse%20116+6330+Cham
Webzeitschrift.ch GmbH,Werbeagenturen,http://www.marktindex.ch/,NA,NA,"Wiesenstrasse 10a
8952 Schlieren",https://www.google.com/maps/place/Wiesenstrasse%2010a+8952+Schlieren
Lombardi Art & Hair,Coiffeursalons,NA,tel:071 999 02 69,NA,"Grünaustrasse 33
8370 Sirnach",https://www.google.com/maps/place/Gr%C3%BCnaustrasse%2033+8370+Sirnach
Hubert Ackermann,Werbeagenturen,NA,NA,NA,"Bergmatte 5
1734 Tentlingen",https://www.google.com/maps/place/Bergmatte%205+1734+Tentlingen
Garten Bieri AG,Garten- und Landschaftsbau sowie Erbringung von sonstigen gärtnerischen Dienstleistungen,http://www.garten-bieri.ch/,tel:071 966 17 08,fax:071 966 17 09,"Grossackerstrasse 20
9542 Münchwilen TG",https://www.google.com/maps/place/Grossackerstrasse%2020+9542+M%C3%BCnchwilen%20TG
Rhomberg Bau AG,Aktivitäten der Generalunternehmen im Baugewerbe,http://www.rhombergbau.ch/,tel:071 228 63 73,NA,"Feldlistrasse 2
9000 St. Gallen",https://www.google.com/maps/place/Feldlistrasse%202+9000+St.%20Gallen
Moos + Co,Detailhandel mit Brillen und anderen Sehhilfen,NA,tel:041 210 75 64,fax:041 210 75 75,"Pilatusstrasse 34
6003 Luzern",https://www.google.com/maps/place/Pilatusstrasse%20%2034+6003+Luzern
Heinrich Tschanz,Herstellung von Ausbauelementen aus Metall,NA,tel:034 420 03 70,fax:034 420 03 71,"Gysnauweg 7
3400 Burgdorf",https://www.google.com/maps/place/Gysnauweg%207+3400+Burgdorf
Ganz Installationen AG,Sanitär- und Heizungsinstallation,http://www.ganz-installationen.ch/,tel:044 908 40 00,fax:044 908 40 09,"Claridenweg 18
8604 Volketswil",https://www.google.com/maps/place/Claridenweg%2018+8604+Volketswil
Die Welt in Farbe AG,Malerei,http://www.farb-kompetenz.ch/,tel:052 223 18 88,fax:052 223 18 87,"Seuzachstrasse 42
8413 Neftenbach",https://www.google.com/maps/place/Seuzachstrasse%2042+8413+Neftenbach
Alder & Co.,"Verwaltung von Grundstücken, Gebäuden und Wohnungen für Dritte",http://20%20%25/,tel:081 250 74 07,fax:081 250 74 07,"Welschdörfli 18-20
7002 Chur",https://www.google.com/maps/place/Welschd%C3%B6rfli%2018-20+7002+Chur
Georg Frei,"Detailhandel mit Automobilen mit einem Gesamtgewicht von 3,5 t oder weniger",NA,tel:071 911 74 11,NA,"Dorfstrasse 1
9502 Braunau",https://www.google.com/maps/place/Dorfstrasse%201+9502+Braunau
Jost Service GmbH,Garten- und Landschaftsbau sowie Erbringung von sonstigen gärtnerischen Dienstleistungen,http://www.jostservice.ch/,tel:044 558 88 02,NA,"Balz-Zimmermann-Strasse 34
8302 Kloten",https://www.google.com/maps/place/Balz-Zimmermann-Strasse%2034+8302+Kloten
BRIMATO (Swiss) AG,"Dämmung gegen Kälte, Wärme, Schall und Erschütterung",http://www.brimato.ch/,tel:052 338 04 08,NA,"Seeblickstrasse 39
8274 Tägerwilen",https://www.google.com/maps/place/Seeblickstrasse%2039+8274+T%C3%A4gerwilen
Vini Cappelletti AG,Detailhandel mit Getränken,http://www.cappelletti.ch/,tel:031 335 44 44,NA,"Zikadenweg 6
3006 Bern",https://www.google.com/maps/place/Zikadenweg%206+3006+Bern
P. Bernard,Bewertungen,http://www.bernard-uhren.ch/,tel:061 711 38 88,NA,"Baselstrasse 108
4153 Reinach BL",https://www.google.com/maps/place/Baselstrasse%20108+4153+Reinach%20BL
Finajour,Erbringung von Beratungsleistungen auf dem Gebiet der Informationstechnologie,http://www.finajour.ch/,tel:061 721 72 92,fax:061 721 73 40,"Rte de l' Hôpital 56
2800 Delémont",https://www.google.com/maps/place/Rte%20de%20l'%20H%C3%B4pital%2056+2800+Del%C3%A9mont
Carrosserie Gygax AG,"Herstellung von Karosserien, Aufbauten und Anhängern",NA,tel:062 965 16 33,fax:062 965 36 77,"Hauptstrasse 31
4936 Kleindietwil",https://www.google.com/maps/place/Hauptstrasse%2031+4936+Kleindietwil
Der MarkenMentor - François Cochard,Unternehmensberatung,http://www.markenmentor.ch/,tel:044 370 27 77,NA,"Regina-Kägi-Strasse 11
8050 Zürich",https://www.google.com/maps/place/Regina-K%C3%A4gi-Strasse%2011+8050+Z%C3%BCrich
D.Probst Beauty-Cosmetics-Spa,Kosmetiksalons,http://www.probst-cosmetic.ch/,tel:062 871 53 00,NA,"Bahnhofplatz 1
5070 Frick",https://www.google.com/maps/place/Bahnhofplatz%201+5070+Frick
Silvermagic GmbH,Grosshandel mit sonstigen Maschinen und Ausrüstungen,http://www.textilparadies.ch/,tel:041 761 68 10,fax:041 761 68 11,"Kleinfeld 17
6207 Nottwil",https://www.google.com/maps/place/Kleinfeld%2017+6207+Nottwil
Waffenhaus Schneider,Herstellung von Waffen und Munition,NA,tel:031 781 14 80,fax:031 781 29 96,"Dorfplatz 12a
3114 Wichtrach",https://www.google.com/maps/place/Dorfplatz%2012a+3114+Wichtrach
Invest4u GmbH,"Kauf und Verkauf von eigenen Grundstücken, Gebäuden und Wohnungen",NA,NA,NA,"Mellingerstrasse 20
5400 Baden",https://www.google.com/maps/place/Mellingerstrasse%2020+5400+Baden
Arzhila SA,"Verwaltung von Grundstücken, Gebäuden und Wohnungen für Dritte",http://www.arzhila.ch/,tel:091 935 40 90,fax:091 935 40 99,"Via d'Argine 3
6930 Bedano",https://www.google.com/maps/place/Via%20d'Argine%203+6930+Bedano
Elsener AG,Grosshandel mit sonstigen Maschinen und Ausrüstungen,http://www.elsener-svt.ch/,tel:041 781 24 44,NA,"Chamerstrasse 44
6331 Hünenberg",https://www.google.com/maps/place/Chamerstrasse%2044+6331+H%C3%BCnenberg
Fussballclub Langenthal,Sportvereine,https://www.fclangenthal.ch/,NA,NA,"Melchnaustrasse 54
4900 Langenthal",https://www.google.com/maps/place/Melchnaustrasse%2054+4900+Langenthal
J.C. Bonorand,"Advokatur-, Notariatsbüros",NA,tel:081 252 77 78,fax:081 252 63 46,"Arcas 22
7002 Chur",https://www.google.com/maps/place/Arcas%2022+7002+Chur
Romer AG,Detailhandel mit Uhren und Schmuck,http://romerschmuck.ch/,tel:052 213 87 51,fax:052 202 13 44,"Marktgasse 42
8400 Winterthur",https://www.google.com/maps/place/Marktgasse%2042+8400+Winterthur
Slag AG,Architekturbüros,NA,tel:041 484 28 77,fax:041 484 27 07,"Ober-Trüebebach 34
6170 Schüpfheim",https://www.google.com/maps/place/Ober-Tr%C3%BCebebach%20%2034+6170+Sch%C3%BCpfheim
Mohler Metallbau,Mechanische Werkstätten,NA,tel:062 299 10 82,NA,"Hauptstrasse 99
4444 Rümlingen",https://www.google.com/maps/place/Hauptstrasse%2099+4444+R%C3%BCmlingen
Weinhandlung Varensis,Grosshandel mit Wein und Spirituosen,http://www.cavevarensis.ch/,tel:027 473 20 43,fax:027 473 38 25,"Dorfstrasse 56
3953 Varen",https://www.google.com/maps/place/Dorfstrasse%2056+3953+Varen
Goldenberger Elektro AG,Elektroinstallation,NA,tel:062 739 10 20,fax:062 739 10 21,"Hauptstrasse 203
5044 Schlossrued",https://www.google.com/maps/place/Hauptstrasse%20203+5044+Schlossrued
Brevag AG,Reparatur von Metallerzeugnissen,http://www.brevag.ch/,tel:032 672 12 20,NA,"Bleichenmattstrasse 22
4562 Biberist",https://www.google.com/maps/place/Bleichenmattstrasse%2022+4562+Biberist
ERBATEC SA,Grosshandel mit Baustoffen,NA,tel:024 471 03 44,fax:024 471 04 18,"ch.des Eudrants 8
1869 Massongex",https://www.google.com/maps/place/ch.des%20Eudrants%208+1869+Massongex
Bahnhöfli Lungern AG,"Restaurants, Imbissstuben, Tea-Rooms und Gelaterias",http://www.bahnhoefli.ch/,tel:041 678 15 55,NA,"Bahnhofstrasse 30
6078 Lungern",https://www.google.com/maps/place/Bahnhofstrasse%2030+6078+Lungern
Gérard Fischer Occasionsshop,"Detailhandel mit Automobilen mit einem Gesamtgewicht von 3,5 t oder weniger",NA,NA,fax:056 664 37 10,"Mühlestrasse 2
5634 Merenschwand",https://www.google.com/maps/place/M%C3%BChlestrasse%202+5634+Merenschwand
Claudio Ottolini,Verlegen von Fliesen und Platten,NA,tel:071 385 66 44,fax:071 385 67 25,"Gozenbergstrasse 44
9200 Gossau SG",https://www.google.com/maps/place/Gozenbergstrasse%2044+9200+Gossau%20SG
Metzgerei Zesiger GmbH,Schlachten (ohne Schlachten von Geflügel),NA,tel:032 331 82 83,fax:032 333 21 53,"Hauptstrasse 9
2562 Port",https://www.google.com/maps/place/Hauptstrasse%209+2562+Port
Rudolf Grogg AG,"Sonstiger Detailhandel mit Metallwaren, Anstrichmitteln, Bau- und Heimwerkerbedarf",http://www.grogg-ag.ch/,tel:032 356 0356,fax:032 355 25 48,"Hauptstrasse 105
2553 Safnern",https://www.google.com/maps/place/Hauptstrasse%20105+2553+Safnern
Franz Schubert,Aktivitäten der Generalunternehmen im Baugewerbe,NA,tel:044 836 77 88,fax:044 836 77 88,"Rebenstrasse 3
8309 Nürensdorf",https://www.google.com/maps/place/Rebenstrasse%203+8309+N%C3%BCrensdorf
ISMA-TRANS GmbH,Güterbeförderung im Strassenverkehr,NA,tel:052 343 70 71,fax:052 343 70 76,"Vogelsangstrasse 13
8307 Effretikon",https://www.google.com/maps/place/Vogelsangstrasse%2013+8307+Effretikon
"Jeker AG, Aushub, Tief- und Rückbau",Abbrucharbeiten,NA,tel:061 781 10 72,fax:061 781 37 91,"Pfarrgasse 14
4227 Büsserach",https://www.google.com/maps/place/Pfarrgasse%2014+4227+B%C3%BCsserach
Automobiles Jäggi S.A.,lnstandhaltung und Reparatur von Automobilen,http://www.jaeggisa.ch/,tel:032 488 33 44,fax:032 488 33 40,"Grand-Rue 29
2606 Corgémont",https://www.google.com/maps/place/Grand-Rue%2029+2606+Corg%C3%A9mont
Baugeschäft P.Weibel GmbH,Allgemeiner Hochbau,NA,tel:055 412 36 80,NA,"Langrütistrasse 88
8840 Einsiedeln",https://www.google.com/maps/place/Langr%C3%BCtistrasse%2088+8840+Einsiedeln
REGENASS HAUSTECHNIK,Sanitär- und Heizungsinstallation,NA,NA,NA,"Freidorf 71
4132 Muttenz",https://www.google.com/maps/place/Freidorf%2071+4132+Muttenz
Riedo Clima AG Flamatt,"lnstallation von Heizungs-, Lüftungs- und Klimaanlagen",NA,tel:031 741 05 17,fax:031 741 10 82,"Bernstrasse 24
3175 Flamatt",https://www.google.com/maps/place/Bernstrasse%2024+3175+Flamatt
NA,NA,NA,NA,NA,NA,
Elektro Furrer AG,Ausschreibungen,http://www.elektrofurrer.ch/,tel:041 662 00 70,fax:041 662 00 79,"Edisriederstrasse 83
6072 Sachseln",https://www.google.com/maps/place/Edisriederstrasse%2083+6072+Sachseln
NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,
Gasthof Rössli,Private Haushalte mit Hauspersonal,NA,NA,NA,"Winkelstrasse 1
4913 Bannwil",https://www.google.com/maps/place/Winkelstrasse%201+4913+Bannwil
DEMKO GmbH,"Grosshandel mit keramischen Erzeugnissen, Glaswaren und Reinigungsmitteln",NA,tel:031 558 37 89,NA,"Dorfstrasse 9
3082 Schlosswil",https://www.google.com/maps/place/Dorfstrasse%209+3082+Schlosswil
Rico Muttenzer,Erbringung von Beratungsleistungen auf dem Gebiet der Informationstechnologie,http://www.maps-com.ch/,tel:071 878 70 80,fax:071 878 70 87,"Sonnenbergstrasse 6
9038 Rehetobel",https://www.google.com/maps/place/Sonnenbergstrasse%206+9038+Rehetobel
Honegger Multiservice,Abbrucharbeiten,https://www.honeggermultiservice.ch/,tel:044 937 48 71,NA,"Alte Zihlstrasse 18
8340 Hinwil",https://www.google.com/maps/place/Alte%20Zihlstrasse%2018+8340+Hinwil
Baumann Gebäudetechnik AG,Artikel im Shop,http://www.baumann-haustechnik.ch/,tel:071 633 12 48,fax:071 633 30 13,"Weinfelderstrasse 13
8575 Bürglen TG",https://www.google.com/maps/place/Weinfelderstrasse%2013+8575+B%C3%BCrglen%20TG
Jung & Partner Bauspengl.AG,Bauspenglerei,http://www.jungbauspenglerei.ch/,tel:044 820 01 77,fax:044 820 01 72,"Neuhofstrasse 23
8600 Dübendorf",https://www.google.com/maps/place/Neuhofstrasse%2023+8600+D%C3%BCbendorf
werbetafel.ch,Werbeagenturen,http://www.werbetafel.ch/,tel:044 500 96 05,NA,"Oehningerstrasse 47
8260 Stein am Rhein",https://www.google.com/maps/place/Oehningerstrasse%2047+8260+Stein%20am%20Rhein
Bildhaueratelier A. Meier GmbH,Be- und Verarbeitung von Naturwerksteinen und Natursteinen a. n. g.,http://www.bildhauer-meier.ch/,tel:056 441 04 79,NA,"Müriweg 2
5200 Brugg AG",https://www.google.com/maps/place/M%C3%BCriweg%202+5200+Brugg%20AG
Levo-Batterien AG,Herstellung von Batterien und Akkumulatoren,http://www.levobatterien.com/,tel:061 971 22 00,fax:061 971 22 77,"Vordere Grossmatt
4457 Diegten",https://www.google.com/maps/place/Vordere%20Grossmatt+4457+Diegten
Emil Albisser,Detailhandel mit Automobilteilen und -zubehör,NA,tel:062 291 17 35,NA,"Chrummacker 3
4658 Däniken SO",https://www.google.com/maps/place/Chrummacker%203+4658+D%C3%A4niken%20SO
Schärer Blitzgerüst AG,Gerüstbau,http://www.blitzgeruest.ch/,tel:044 740 40 84,fax:043 455 48 05,"Poststrasse 27b
8953 Dietikon",https://www.google.com/maps/place/Poststrasse%2027b+8953+Dietikon
BDM Immobilien GmbH,"Verwaltung von Grundstücken, Gebäuden und Wohnungen für Dritte",NA,tel:071 447 12 23,NA,"Pündtstrasse 1
9320 Arbon",https://www.google.com/maps/place/P%C3%BCndtstrasse%201+9320+Arbon
BONETTI Costruzioni Sagl,Allgemeiner Hoch- und Tiefbau ohne ausgeprägten Schwerpunkt,NA,tel:091 795 11 26,fax:091 795 31 59,"Via al Forte 9
6573 Magadino",https://www.google.com/maps/place/Via%20al%20Forte%209+6573+Magadino
Fredy Hofstetter,Grosshandel mit sonstigen Maschinen und Ausrüstungen,NA,NA,NA,"Webergasse 41
8200 Schaffhausen",https://www.google.com/maps/place/Webergasse%2041+8200+Schaffhausen
RaumART AG,Detailhandel mit Möbeln,http://www.raumart.ch/,tel:027 922 70 70,fax:027 922 70 75,"Furkastrasse 140
3904 Naters",https://www.google.com/maps/place/Furkastrasse%20140+3904+Naters
Bijoux Bacara,Grosshandel mit Schmuck,NA,NA,NA,"Grand-Chêne
1002 Lausanne",https://www.google.com/maps/place/Grand-Ch%C3%AAne+1002+Lausanne
Heinz Schmid,Sonstiger Fachdetailhandel a. n. g. (in Verkaufsräumen),NA,tel:091 857 66 63,NA,"in Arla 10
6528 Camorino",https://www.google.com/maps/place/in%20Arla%2010+6528+Camorino
Musa GmbH,Verlegen von Fliesen und Platten,NA,tel:071 951 08 33,NA,"Bahnhofstrasse 18
9242 Oberuzwil",https://www.google.com/maps/place/Bahnhofstrasse%2018+9242+Oberuzwil
Rolf Blum Moto,"Handel mit Motorrädern, Kraftradteilen und -zubehör; Instandhaltung und Reparatur von Motorrädern",http://www.blum-moto.ch/,tel:061 261 36 30,fax:061 261 37 28,"Dornacherstrasse 301
4053 Basel",https://www.google.com/maps/place/Dornacherstrasse%20301+4053+Basel
Bétrisey et Albrecht Vins Sàrl,Grosshandel mit Wein und Spirituosen,http://www.sangbarbare.ch/,tel:027 203 21 86,fax:027 203 67 13,"Avenue St-François 2
1950 Sion",https://www.google.com/maps/place/Avenue%20St-Fran%C3%A7ois%202+1950+Sion
"Bierkönig, Restaurant","Verwaltung von Hotels, Gasthöfen und Pensionen",NA,tel:081 250 44 00,NA,"Untere Gasse 25
7000 Chur",https://www.google.com/maps/place/Untere%20Gasse%2025+7000+Chur
Catherine De Marchi,Detailhandel mit Antiquitäten,NA,tel:061 722 11 37,NA,"Eigenweg 40
4107 Ettingen",https://www.google.com/maps/place/Eigenweg%2040+4107+Ettingen
Garage Di Pietro AG,lnstandhaltung und Reparatur von Automobilen,NA,tel:062 891 69 63,NA,"Dammweg 4
5503 Schafisheim",https://www.google.com/maps/place/Dammweg%204+5503+Schafisheim
René Kästli,Architekturbüros,http://www.exklusiv-plan.ch/,tel:032 365 42 32,fax:032 365 42 32,"Dorfstrasse 1
3232 Ins",https://www.google.com/maps/place/Dorfstrasse%201+3232+Ins
med.Fusspflege/Podologie,Kosmetiksalons,NA,tel:062 398 57 61,NA,"Gunzgerstrasse 88
4618 Boningen",https://www.google.com/maps/place/Gunzgerstrasse%2088+4618+Boningen
"EG Baugesellschaft Motta, Seewis",Aktivitäten der Generalunternehmen im Baugewerbe,NA,tel:081 720 06 30,NA,"Zeughausstrasse 26
8887 Mels",https://www.google.com/maps/place/Zeughausstrasse%2026+8887+Mels
Beatrice Brunner,"Detailhandel mit Vorhängen, Teppichen, Fussbodenbelägen und Tapeten",NA,tel:041 371 12 30,NA,"Benzibühlstrasse 12
6044 Udligenswil",https://www.google.com/maps/place/Benzib%C3%BChlstrasse%2012+6044+Udligenswil
Hair Factory,Coiffeursalons,http://www.hairfactory.ch/,tel:044 940 87 33,NA,"Bankstrasse 8
8610 Uster",https://www.google.com/maps/place/Bankstrasse%208+8610+Uster
Holzbau Krieg AG,"Holzbau, Zimmerei",NA,tel:031 781 23 44,fax:031 781 23 60,"Jabergstrasse 17
3116 Kirchdorf BE",https://www.google.com/maps/place/Jabergstrasse%2017+3116+Kirchdorf%20BE
ISOFUTUR SA,"Bauschreinerei, Fenster und Türen",http://www.isofutur.ch/,tel:026 912 26 46,fax:026 912 03 65,"Champ-Paccot 4
1627 Vaulruz",https://www.google.com/maps/place/Champ-Paccot%204+1627+Vaulruz
Beck Umweltservice AG,Rückgewinnung sortierter Werkstoffe,http://www.sammelhof.ch/,tel:041 925 19 00,NA,"Allmendstrasse 5
6210 Sursee",https://www.google.com/maps/place/Allmendstrasse%205+6210+Sursee
autoweibel ag,lnstandhaltung und Reparatur von Automobilen,http://www.autoweibel.ch/,tel:032 391 71 21,fax:032 391 71 20,"Murtenstrasse 4
3270 Aarberg",https://www.google.com/maps/place/Murtenstrasse%204+3270+Aarberg
Carrosserie Chläggi AG,Reparatur und Lackieren von Carrosserien,NA,tel:052 681 22 77,fax:052 681 22 82,"Langfeldweg 9
8213 Neunkirch",https://www.google.com/maps/place/Langfeldweg%209+8213+Neunkirch
Auxilium-idc Sàrl,Berufliche Erwachsenenbildung,https://www.auxilium-idc.ch/,tel:079 422 14 55,NA,"Rue du Chanoine Broquet 2
1890 St-Maurice",https://www.google.com/maps/place/Rue%20du%20Chanoine%20Broquet%202+1890+St-Maurice
Burkhalter Bedachungen,Dachdeckerei,NA,tel:034 431 13 81,NA,"Gammenthal 829
3454 Sumiswald",https://www.google.com/maps/place/Gammenthal%20829+3454+Sumiswald
Optik und Uhren Hildenbrand AG,Detailhandel mit Brillen und anderen Sehhilfen,NA,tel:026 670 28 49,fax:026 670 49 85,"Rathausgasse 4
3280 Murten",https://www.google.com/maps/place/Rathausgasse%204+3280+Murten
Michel Fontana SA,Berufliche Erwachsenenbildung,http://www.michelfontana.ch/,tel:021 825 48 48,NA,"Chemin du Petit Pont 1
1185 Mont-sur-Rolle",https://www.google.com/maps/place/Chemin%20du%20Petit%20Pont%201+1185+Mont-sur-Rolle
Dr. Felix Zurbriggen,"Advokatur-, Notariatsbüros",NA,tel:027 946 24 48,NA,"Balfrinstrasse 14
3930 Visp",https://www.google.com/maps/place/Balfrinstrasse%2014+3930+Visp
Christian Schmidt Malermeister AG,Malerei,http://www.christian-schmidt.ch/,tel:044 271 39 16,fax:044 271 39 16,"Granitweg 6
8006 Zürich",https://www.google.com/maps/place/Granitweg%206+8006+Z%C3%BCrich
Tschili Handels GmbH,Grosshandel ohne ausgeprägten Schwerpunkt,http://www.tschilishoestore.ch/,tel:062 893 41 41,NA,"Wildeggerstrasse 60
5702 Niederlenz",https://www.google.com/maps/place/Wildeggerstrasse%2060+5702+Niederlenz
Spörri Mech.Werkstatt + Tiefb.,Mechanische Werkstätten,NA,tel:052 385 17 27,fax:052 385 32 81,"Hauptstrasse 52 Ehrikon
8489 Wildberg",https://www.google.com/maps/place/Hauptstrasse%2052%20Ehrikon+8489+Wildberg
JDD Immobilier SA,"Vermittlung von Grundstücken, Gebäuden und Wohnungen für Dritte",NA,tel:027 743 43 32,NA,"Route du Léman 33
1907 Saxon",https://www.google.com/maps/place/Route%20du%20L%C3%A9man%2033+1907+Saxon
